,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,Airbeam2-001896104D7B,Airbeam2-001896104D7B,Airbeam2-001896104D7B,Airbeam2-001896104D7B,Airbeam2-001896104D7B
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,F-KOM2,2019-10-30T14:41:51.000,3.341659164,-76.530539431,77.0,6.0,11.0,9.0,71.0
2,F-KOM2,2019-10-30T14:42:51.000,3.341659164,-76.530539431,77.0,7.0,12.0,10.0,70.0
3,F-KOM2,2019-10-30T14:43:51.000,3.341659164,-76.530539431,83.0,17.0,31.0,21.0,77.0
4,F-KOM2,2019-10-30T14:44:51.000,3.341659164,-76.530539431,87.0,16.0,29.0,20.0,74.0
5,F-KOM2,2019-10-30T14:45:51.000,3.341659164,-76.530539431,90.0,17.0,28.0,21.0,71.0
6,F-KOM2,2019-10-30T14:46:51.000,3.341659164,-76.530539431,92.0,17.0,27.0,20.0,69.0
7,F-KOM2,2019-10-30T14:47:51.000,3.341659164,-76.530539431,93.0,15.0,27.0,19.0,66.0
8,F-KOM2,2019-10-30T14:48:51.000,3.341659164,-76.530539431,94.0,,28.0,19.0,65.0
9,F-KOM2,2019-10-30T14:49:51.000,3.341659164,-76.530539431,96.0,16.0,26.0,19.0,63.0
10,F-KOM2,2019-10-30T14:50:51.000,3.341659164,-76.530539431,97.0,15.0,27.0,19.0,62.0
11,F-KOM2,2019-10-30T14:51:51.000,3.341659164,-76.530539431,98.0,16.0,24.0,18.0,61.0
12,F-KOM2,2019-10-30T14:52:51.000,3.341659164,-76.530539431,99.0,15.0,24.0,18.0,60.0
13,F-KOM2,2019-10-30T14:53:51.000,3.341659164,-76.530539431,99.0,14.0,24.0,16.0,59.0
