,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896105DBC,AirBeam2:001896105DBC,AirBeam2:001896105DBC,AirBeam2:001896105DBC,AirBeam2:001896105DBC
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,M-O-15NOV19-DMR,2019-11-15T13:13:38.705,3.3659333,-76.5287582,77.0,,,,
2,M-O-15NOV19-DMR,2019-11-15T13:13:38.778,3.3659333,-76.5287582,,,,,87.0
3,M-O-15NOV19-DMR,2019-11-15T13:13:38.833,3.3659333,-76.5287582,,7.0,,,
4,M-O-15NOV19-DMR,2019-11-15T13:13:38.878,3.3659333,-76.5287582,,,,9.0,
5,M-O-15NOV19-DMR,2019-11-15T13:13:38.921,3.3659333,-76.5287582,,,10.0,,
6,M-O-15NOV19-DMR,2019-11-15T13:13:39.741,3.3659319,-76.5287548,77.0,,,,
7,M-O-15NOV19-DMR,2019-11-15T13:13:39.773,3.3659319,-76.5287548,,,,,87.0
8,M-O-15NOV19-DMR,2019-11-15T13:13:39.841,3.3659319,-76.5287548,,7.0,,,
9,M-O-15NOV19-DMR,2019-11-15T13:13:39.910,3.3659319,-76.5287548,,,,9.0,
10,M-O-15NOV19-DMR,2019-11-15T13:13:39.930,3.3659319,-76.5287548,,,10.0,,
11,M-O-15NOV19-DMR,2019-11-15T13:13:40.707,3.3659288,-76.5287522,77.0,,,,
12,M-O-15NOV19-DMR,2019-11-15T13:13:40.762,3.3659288,-76.5287522,,,,,87.0
13,M-O-15NOV19-DMR,2019-11-15T13:13:40.919,3.3659288,-76.5287522,,7.0,,9.0,
14,M-O-15NOV19-DMR,2019-11-15T13:13:40.931,3.3659288,-76.5287522,,,10.0,,
15,M-O-15NOV19-DMR,2019-11-15T13:13:41.726,3.3659288,-76.5287522,77.0,,,,
16,M-O-15NOV19-DMR,2019-11-15T13:13:41.797,3.3659288,-76.5287522,,,,,87.0
17,M-O-15NOV19-DMR,2019-11-15T13:13:41.870,3.3659288,-76.5287522,,7.0,,,
18,M-O-15NOV19-DMR,2019-11-15T13:13:41.873,3.3659288,-76.5287522,,,,9.0,
19,M-O-15NOV19-DMR,2019-11-15T13:13:41.934,3.3659288,-76.5287522,,,10.0,,
20,M-O-15NOV19-DMR,2019-11-15T13:13:42.739,3.365929,-76.5287379,77.0,,,,
21,M-O-15NOV19-DMR,2019-11-15T13:13:42.761,3.365929,-76.5287379,,,,,87.0
22,M-O-15NOV19-DMR,2019-11-15T13:13:42.849,3.365929,-76.5287379,,7.0,,,
23,M-O-15NOV19-DMR,2019-11-15T13:13:42.918,3.365929,-76.5287379,,,,9.0,
24,M-O-15NOV19-DMR,2019-11-15T13:13:42.928,3.365929,-76.5287379,,,10.0,,
25,M-O-15NOV19-DMR,2019-11-15T13:13:43.777,3.3659309,-76.5287241,77.0,,,,87.0
26,M-O-15NOV19-DMR,2019-11-15T13:13:43.875,3.3659309,-76.5287241,,8.0,,,
27,M-O-15NOV19-DMR,2019-11-15T13:13:43.947,3.3659309,-76.5287241,,,,10.0,
28,M-O-15NOV19-DMR,2019-11-15T13:13:43.951,3.3659309,-76.5287241,,,11.0,,
29,M-O-15NOV19-DMR,2019-11-15T13:13:44.770,3.3659309,-76.5287241,77.0,,,,
