,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,Airbeam2-001896100BF1,Airbeam2-001896100BF1,Airbeam2-001896100BF1,Airbeam2-001896100BF1,Airbeam2-001896100BF1
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,F-DMR,2019-10-07T08:50:17.000,3.366250044,-76.528588124,90.0,5.0,10.0,9.0,68.0
2,F-DMR,2019-10-07T08:51:17.000,3.366250044,-76.528588124,90.0,4.0,11.0,8.0,67.0
3,F-DMR,2019-10-07T08:52:17.000,3.366250044,-76.528588124,90.0,5.0,10.0,8.0,67.0
4,F-DMR,2019-10-07T08:53:17.000,3.366250044,-76.528588124,91.0,4.0,9.0,7.0,67.0
5,F-DMR,2019-10-07T08:54:17.000,3.366250044,-76.528588124,91.0,4.0,10.0,7.0,67.0
6,F-DMR,2019-10-07T08:55:17.000,3.366250044,-76.528588124,91.0,5.0,11.0,9.0,67.0
7,F-DMR,2019-10-07T08:56:17.000,3.366250044,-76.528588124,91.0,4.0,9.0,7.0,66.0
8,F-DMR,2019-10-07T08:57:17.000,3.366250044,-76.528588124,91.0,5.0,11.0,8.0,65.0
9,F-DMR,2019-10-07T08:58:17.000,3.366250044,-76.528588124,90.0,5.0,12.0,10.0,66.0
10,F-DMR,2019-10-07T08:59:17.000,3.366250044,-76.528588124,90.0,5.0,12.0,10.0,67.0
11,F-DMR,2019-10-07T09:00:17.000,3.366250044,-76.528588124,90.0,5.0,10.0,9.0,67.0
